AgencyYr,revenueindex,rpKey,Agnc,Yr,fta_5307_op,fta_5307_prv,fta_5311_op,fta_5316_op,fta_other_op,fta_op_other_spec,st_op_rmg,st_op_regmg,st_op_sng,st_op_ste,st_op_stod,st_op_other,st_op_other_spec,fta_5307_cg,fta_5309_cg,fta_5310_cg,fta_5311_cg,fta_5316_cg,Fstp_grnt_cg,fed_other_grnt_cg,fta_cg_other_spec,st_cg_rmg,st_cg_sng,st_cg_regmg,st_cg_ste,st_ct_van,st_cg_other,st_cg_other_spec,sales_tax,utility_tax,mvet,other_ad,other_int,other_gain,other_rev,other_rev_spec,dec_res,inc_res,Comments,expense_key,rpKey,Agnc,Yr,interest,principal,local_cap,deprec,Otra_exp_num,gen_fund,unrest_cash,oper_res,work_cap,cap_res_fund,cont_res,debt_ser_fund,insur_fund,other_balace,Comments,rpKey,Agnc,Yr,rvh_do_fixed,rvh_do_light,rvh_do_route,rvh_do_demand,rvh_do_van,rvh_do_CB,rvh_do_RB,rvh_do_SR,rvh_do_TB,rvh_pt_fixed,rvh_pt_ferry,rvh_pt_com,rvh_pt_light,rvh_pt_route,rvh_pt_demand,rvh_pt_CB,rvh_pt_RB,rvh_pt_DT,rvh_pt_SR,rvh_pt_TB,tvh_do_fixed,tvh_do_light,tvh_do_route,tvh_do_demand,tvh_do_van,tvh_do_CB,tvh_do_RB,tvh_do_SR,tvh_do_TB,tvh_pt_fixed,tvh_pt_ferry,tvh_pt_com,tvh_pt_light,tvh_pt_route,tvh_pt_demand,tvh_pt_CB,tvh_pt_RB,tvh_pt_DT,tvh_pt_SR,tvh_pt_TB,rvm_do_fixed,rvm_do_light,rvm_do_route,rvm_do_demand,rvm_do_van,rvm_do_CB,rvm_do_RB,rvm_do_SR,rvm_do_TB,rvm_pt_fixed,rvm_pt_ferry,rvm_pt_com,rvm_pt_light,rvm_pt_route,rvm_pt_demand,rvm_pt_CB,rvm_pt_RB,rvm_pt_DT,rvm_pt_SR,rvm_pt_TB,tvm_do_fixed,tvm_do_light,tvm_do_route,tvm_do_demand,tvm_do_van,tvm_do_CB,tvm_do_RB,tvm_do_SR,tvm_do_TB,tvm_pt_fixed,tvm_pt_ferry,tvm_pt_com,tvm_pt_light,tvm_pt_route,tvm_pt_demand,tvm_pt_CB,tvm_pt_RB,tvm_pt_DT,tvm_pt_SR,tvm_pt_TB,psgr_do_fixed,psgr_do_light,psgr_do_route,psgr_do_demand,psgr_do_van,psgr_do_CB,psgr_do_RB,psgr_do_SR,psgr_do_TB,psgr_pt_fixed,psgr_pt_ferry,psgr_pt_com,psgr_pt_light,psgr_pt_route,psgr_pt_demand,psgr_pt_CB,psgr_pt_RB,psgr_pt_DT,psgr_pt_SR,psgr_pt_TB,dfc_do_fixed,dfc_do_route,dfc_do_demand,dfc_do_van,dfc_do_CB,dfc_do_RB,dfc_pt_fixed,dfc_pt_ferry,dfc_pt_com,dfc_pt_route,dfc_pt_demand,dfc_pt_CB,dfc_pt_RB,dfc_pt_DT,pfc_do_fixed,pfc_do_route,pfc_do_demand,pfc_do_van,pfc_do_CB,pfc_do_RB,pfc_pt_fixed,pfc_pt_route,pfc_pt_demand,pfc_pt_CB,pfc_pt_RB,pfc_pt_DT,gfc_do_fixed,gfc_do_route,gfc_do_demand,gfc_do_van,gfc_do_CB,gfc_do_RB,gfc_pt_fixed,gfc_pt_route,gfc_pt_demand,gfc_pt_CB,gfc_pt_RB,gfc_pt_DT,elc_do_fixed,elc_do_light,elc_do_SR,elc_do_TB,elc_pt_fixed,elc_pt_light,elc_pt_SR,elc_pt_TB,cng_do_fixed,cng_do_route,cng_do_demand,cng_do_CB,cng_do_RB,cng_pt_fixed,cng_pt_route,cng_pt_demand,cng_pt_CB,cng_pt_RB,fte_do_fixed,fte_do_light,fte_do_route,fte_do_demand,fte_do_van,fte_do_CB,fte_do_RB,fte_do_SR,fte_do_TB,fte_pt_fixed,fte_pt_ferry,fte_pt_com,fte_pt_light,fte_pt_route,fte_pt_demand,fte_pt_CB,fte_pt_RB,fte_pt_DT,fte_pt_SR,fte_pt_TB,oex_do_fixed,oex_do_light,oex_do_route,oex_do_demand,oex_do_van,oex_do_CB,oex_do_RB,oex_do_SR,oex_do_TB,oex_pt_fixed,oex_pt_ferry,oex_pt_com,oex_pt_light,oex_pt_route,oex_pt_demand,oex_pt_CB,oex_pt_RB,oex_pt_DT,oex_pt_SR,oex_pt_TB,rev_do_fixed,rev_do_light,rev_do_route,rev_do_demand,rev_do_van,rev_do_CB,rev_do_RB,rev_do_SR,rev_do_TB,rev_pt_fixed,rev_pt_ferry,rev_pt_com,rev_pt_light,rev_pt_route,rev_pt_demand,rev_pt_CB,rev_pt_RB,rev_pt_DT,rev_pt_SR,rev_pt_TB,Comments
29,25,{9755C973-42E7-4362-8219-9ACEBFDB3760},Okanogan County Transit Authority,2017,0,0,0,0,0,0,0,0,0,218022,0,0,0,0,0,9446,0,0,0,0,0,83421,0,0,0,0,0,0,2560308,0,0,0,117429,0,0,0,0,0,,103,{9755C973-42E7-4362-8219-9ACEBFDB3760},Okanogan County Transit Authority,2017,0,0,0,279764,0,6445,4364611,0,0,0,0,0,0,0,,{9755C973-42E7-4362-8219-9ACEBFDB3760},Okanogan County Transit Authority,2017,14200,0,0,0,1124,0,0,0,0,1119,0,0,0,0,3264,0,0,0,0,0,15344,0,0,0,1124,0,0,0,0,1161,0,0,0,0,3316,0,0,0,0,0,376755,0,0,0,48196,0,0,0,0,22866,0,0,0,0,40449,0,0,0,0,0,400121,0,0,0,48196,0,0,0,0,22594,0,0,0,0,38308,0,0,0,0,0,41871,0,0,0,7054,0,0,0,0,1368,0,0,0,0,7954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43711,0,0,3016,0,0,2905.0,0,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,1075463,0,0,0,10503,0,0,0,0,46828,0,0,0,0,206118,0,0,0,0,0,44410,0,0,0,23193,0,0,0,0,1473,0,0,0,0,8688,0,0,0,0,0,
30,26,{D8E39B10-D227-40BB-A7C3-1562A25532EA},pacific,2017,0,0,562165,0,0,0,125310,0,42761,163061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886133,0,0,0,23708,0,160,0,0,195201,,107,{D8E39B10-D227-40BB-A7C3-1562A25532EA},pacific,2017,0,0,0,245749,0,90422,2161716,0,0,2949972,0,0,0,0,,{D8E39B10-D227-40BB-A7C3-1562A25532EA},pacific,2017,10433,0,0,7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12471,0,0,7633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313717,0,0,91583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319532,0,0,93484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101171,0,0,12376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9794,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909086,0,0,524064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26905,0,0,16462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,27,{3A1554A7-2145-4E6F-AF1D-EB877FF36FC0},pierce,2017,384163,0,0,0,0,0,0,1849226,1727079,0,0,0,0,679887,47016,0,0,0,0,326397,0,0,0,0,0,0,0,0,80981749,0,0,528090,977716,129173,2176293,0,8983219,0,,112,{3A1554A7-2145-4E6F-AF1D-EB877FF36FC0},pierce,2017,0,0,12603084,18692559,0,0,53625717,0,0,774737,0,0,1892039,0,,{3A1554A7-2145-4E6F-AF1D-EB877FF36FC0},pierce,2017,428267,0,0,45749,147103,0,0,0,0,0,0,0,0,0,111765,0,0,0,0,0,471683,0,0,51118,147103,0,0,0,0,0,0,0,0,0,126974,0,0,0,0,0,4903678,0,0,611807,4771217,0,0,0,0,0,0,0,0,0,1528147,0,0,0,0,0,5685182,0,0,692665,4771217,0,0,0,0,0,0,0,0,0,1772503,0,0,0,0,0,8543157,0,0,100374,810383,0,0,0,0,0,0,0,0,0,224379,0,0,0,0,0,195972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20255,0,75898,338241,0,0,0.0,0,287685,0,0,0,0,0,0,0,0,0,0,0,1355315,0,33755,0,0,0,0,0,0,0,462.0,0.0,0.0,39.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68239939,0,0,7092689,4599679,0,0,0,0,0,0,0,0,0,11652274,0,0,0,0,0,8735996,0,0,125212,3050834,0,0,0,0,0,0,0,0,0,225521,0,0,0,0,0,
32,28,{2EA6EA83-73F2-46EC-9823-454F9DDC2CFB},pullman,2017,0,0,517211,0,0,0,125656,0,37191,0,0,0,0,0,0,0,264000,0,0,0,0,0,3022,1056000,0,0,0,0,0,1173808,0,0,0,0,0,0,0,0,,117,{2EA6EA83-73F2-46EC-9823-454F9DDC2CFB},pullman,2017,0,0,0,0,0,0,0,633873,100000,0,0,0,0,0,,{2EA6EA83-73F2-46EC-9823-454F9DDC2CFB},pullman,2017,29816,0,0,7548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38068,0,0,8691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354149,0,0,64846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378411,0,0,63964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348276,0,0,20419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11432,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.29,0.0,0.0,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3321421,0,0,830355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2334723,0,0,6362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,29,{DEE27481-ED2D-4ECC-8203-4BC71148BB85},Quinault Indian Nation,2017,0,0,101572,0,0,0,0,0,0,0,0,56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,123,{DEE27481-ED2D-4ECC-8203-4BC71148BB85},Quinault Indian Nation,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{DEE27481-ED2D-4ECC-8203-4BC71148BB85},Quinault Indian Nation,2017,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,30,{5C45360E-5F80-459F-8983-89731BDF23CB},selah,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432400,0,0,0,0,0,0,0,0,0,,125,{5C45360E-5F80-459F-8983-89731BDF23CB},selah,2017,0,0,0,0,0,0,312467,0,0,0,0,0,0,0,,{5C45360E-5F80-459F-8983-89731BDF23CB},selah,2017,0,0,0,0,0,0,0,0,0,5728,0,0,0,0,1556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5926,0,0,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99201,0,0,0,0,17268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104010,0,0,0,0,18183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72235,0,0,0,0,3777,0,0,0,0,0,0,0,0,0,0,0,0,8332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,211096,0,0,0,0,56384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,31,{416D5791-B949-4B76-B191-1A7C81194554},skagit,2017,1695387,0,0,0,63369,0,0,89736,250437,0,102851,0,0,58509,0,0,0,0,0,0,0,0,0,0,0,0,820947,State Appropriation,11711091,0,0,0,70740,24043,59927,0,0,0,,130,{416D5791-B949-4B76-B191-1A7C81194554},skagit,2017,0,0,2241787,2191303,0,2194294,5050699,2121803,0,4314918,0,0,0,0,,{416D5791-B949-4B76-B191-1A7C81194554},skagit,2017,58923,0,0,31074,27220,12141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61616,0,0,34475,27220,12944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885452,0,0,341618,996484,381176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945349,0,0,403452,996484,402128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554403,0,0,63992,107928,112563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160164,0,32542,0,56957,0,0,0,0,0,0,0,0,0,0,0,16116,0,0,0,0,0,0,0,0,0,0,0,0,57197,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.37,0.0,0.0,41.73,2.35,8.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6373559,0,0,4489672,608602,1174798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309037,0,0,7187,448444,99916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,32,{E84C5C18-523F-4EB2-8AAF-45C45A915062},sound,2017,0,0,0,0,11914385,State of Good Repair (5337) & Fuel Tax Credit,0,0,0,0,0,0,0,26754809,2259640,0,0,0,0,55027167,"Public Transportation Research Alternatives, Build America Bonds, State of Good Repair (5337) & Bus Facilities (5339)",0,0,0,0,0,286705253,"WSDOT grants, Department of Commerce funds, University of Wa - U District TOD",1118641584,144417092,280382262,1648627,21987825,0,13405094,"Sales tax mitigation,ORCA card fees, Rent income, Maintenance services, Use license fees, Judgements & claims, Miscellaneous revenue, ORCA Regional Program & event sponsorship, O&M agreements, Local contributions, Park & Ride revenue & purchased transportation agreement",0,12536000,,135,{E84C5C18-523F-4EB2-8AAF-45C45A915062},sound,2017,97581818,33235000,1079483018,162895714,305463447,0,1311726153,68487224,0,326070962,18231140,80297552,2880029,11464099,,{E84C5C18-523F-4EB2-8AAF-45C45A915062},sound,2017,0,251376,0,0,0,510928,0,9816,0,0,0,63935,0,0,0,115419,0,0,0,0,0,265554,0,0,0,633864,0,9856,0,0,0,68648,0,0,0,150877,0,0,0,0,0,5153872,0,0,0,9484767,0,75604,0,0,0,1919660,0,0,0,2514666,0,0,0,0,0,5466531,0,0,0,12893382,0,75879,0,0,0,1977045,0,0,0,3451484,0,0,0,0,0,23002263,0,0,0,14726434,0,972998,0,0,0,4445568,0,0,0,3648400,0,0,0,0,0,0,0,0,1688962,0,0,0,1318959,0,0,808466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,25532556,405511,0,0,0,0,0,0,0,0,866756,0,0,0,0,0,0,0.0,703.4,0.0,0.0,0.0,551.4,0.0,39.1,0.0,0.0,0.0,113.4,0.0,0.0,0.0,157.7,0.0,0.0,0.0,0.0,0,91194100,0,0,0,102745702,0,5054541,0,0,0,45502162,0,0,0,21249667,0,0,0,0,0,38019002,0,0,0,28271310,0,0,0,0,0,15042598,0,0,0,8993275,0,0,0,0,
37,33,{6653FE4D-B023-42C0-8A6B-DA87A4FEB91B},spokane,2017,0,8020911,0,0,90983,"Section 5310 - $90,983",0,0,1282461,0,0,0,0,2023411,104372,240516,0,0,0,2266636,"MAP 21 Bus and Bus Facilities Formula (Section 5339) - $2,266,636",0,0,3484774,0,0,0,0,65491244,0,0,149856,632724,0,579398,"Utility Rebate-$273,389; Union Release Time Reimbursement-$166,817; Property Rental-$91,737; Scrap Metal-$9,770; Miscellaneous Scrap Equipment auction proceeds-$8,379; Utility Reimbursement-$7,889; Copies, Passes, Other-$6,136; ID Card/smartcard Admin Fees-$6,120; Rebates- $4,252; Web Sales/Postage-$3,075; Lost & Found-$1,254; NSF & Garnishments-$395; Bike Locker Revenue-$185",0,0,,140,{6653FE4D-B023-42C0-8A6B-DA87A4FEB91B},spokane,2017,0,0,6081985,10360730,428814,0,38426788,10358881,7210538,4950000,0,0,5500000,0,,{6653FE4D-B023-42C0-8A6B-DA87A4FEB91B},spokane,2017,405164,0,0,82066,29470,0,0,0,0,0,0,0,0,0,85599,0,0,0,0,0,427478,0,0,88245,29470,0,0,0,0,0,0,0,0,0,96220,0,0,0,0,0,5590733,0,0,1198630,975974,0,0,0,0,0,0,0,0,0,1339852,0,0,0,0,0,6072737,0,0,1314025,975974,0,0,0,0,0,0,0,0,0,1556093,0,0,0,0,0,10264971,0,0,239886,178457,0,0,0,0,0,0,0,0,0,236879,0,0,0,0,0,1150359,0,124317,0,0,0,0,0,0,0,151320,0,0,0,0,0,3135,0,0,0,0,0,0,0,0,0,0,0,16384,64518,0,0,0.0,0,19556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.4,0.0,0.0,93.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.1,0.0,0.0,0.0,0.0,0.0,49460108,0,0,9298334,611768,0,0,0,0,0,0,0,0,0,4374072,0,0,0,0,0,8314345,0,0,510050,528460,0,0,0,0,0,0,0,0,0,200174,0,0,0,0,0,
38,34,{CED7BAFD-EE08-464D-B1F2-3EBD8F1FC095},Stillaguamish Tribe of Indians,2017,0,0,527059,0,0,0,0,0,0,0,0,0,0,0,0,0,13842,0,0,0,0,52000,0,0,0,0,0,0,0,0,0,0,0,0,31176,0,0,0,,150,{CED7BAFD-EE08-464D-B1F2-3EBD8F1FC095},Stillaguamish Tribe of Indians,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{CED7BAFD-EE08-464D-B1F2-3EBD8F1FC095},Stillaguamish Tribe of Indians,2017,0,0,0,2634,3652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63132,161266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18008,10511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5.75,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,443050,125196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,35,{94E332FE-7656-4E97-8C48-A5ECC5BA4610},Testing agency,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,153,{94E332FE-7656-4E97-8C48-A5ECC5BA4610},Testing agency,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{94E332FE-7656-4E97-8C48-A5ECC5BA4610},Testing agency,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,36,{9EA0CD91-4EF8-4EFB-9205-E8FDA0468777},Tulalip Tribes,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,157,{9EA0CD91-4EF8-4EFB-9205-E8FDA0468777},Tulalip Tribes,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,{9EA0CD91-4EF8-4EFB-9205-E8FDA0468777},Tulalip Tribes,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,37,{FBE4DE8A-3AA4-4A8A-950C-6737AAAE19D2},twin,2017,0,0,608282,0,0,0,28473,0,172865,0,0,0,0,0,297063,0,0,0,0,0,0,0,0,0,0,0,0,0,1786629,0,0,6639,17623,1810,6400,Extra service operated for the City of Centralia and a WSTIP grant,0,69807,,158,{FBE4DE8A-3AA4-4A8A-950C-6737AAAE19D2},twin,2017,0,0,712680,261294,0,0,0,829612,0,908398,0,0,0,0,,{FBE4DE8A-3AA4-4A8A-950C-6737AAAE19D2},twin,2017,0,0,20857,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20857,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276195,36710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290622,36710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222053,8284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14284,4993,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,17.2,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1643696,607942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142750,10454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,38,{E6E12071-B7C6-4A30-9082-21F6F5CA0493},union gap,2017,0,0,0,0,0,0,0,0,0,0,14435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982493,0,0,0,0,0,0,0,0,96533,,163,{E6E12071-B7C6-4A30-9082-21F6F5CA0493},union gap,2017,0,0,0,0,0,0,0,3208131,0,0,0,0,0,0,,{E6E12071-B7C6-4A30-9082-21F6F5CA0493},union gap,2017,0,0,0,0,0,0,0,0,0,15416,0,0,0,0,5511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16187,0,0,0,0,6192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167478,0,0,0,0,55529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188178,0,0,0,0,62392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23160,0,0,0,0,7398,0,0,0,0,0,0,0,0,0,0,0,3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26076.0,0,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,727144,0,0,0,0,158816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,39,{AAA30534-CE66-4C96-BC29-7C97E93A22B8},valley,2017,0,0,0,0,0,0,0,0,162608,200693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150479,0,0,0,49513,0,12555,0,0,1039585,,168,{AAA30534-CE66-4C96-BC29-7C97E93A22B8},valley,2017,0,0,120553,613538,0,0,0,3247600,390255,5543936,0,0,0,0,,{AAA30534-CE66-4C96-BC29-7C97E93A22B8},valley,2017,25338,0,2992,13593,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26352,0,3441,14273,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304935,0,32881,140760,61043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327783,0,35852,148527,63281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637617,0,39361,47303,6815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65667,7469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3828,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6214,896,28960,0,0,0,0,0,0,0,26.4,0.0,3.1,14.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2928589,0,267567,1412605,130059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155772,0,9616,11556,25613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
